,event_id,person1_id,person2_id,person1_span_text,person2_span_text,extracted_name1,extracted_name2,person1_role,person2_role,ratio_score,diocese_id,diocese_name,type_labels,date,confidence,combined_score,name_frequency,likelihood
13027,https://g17.dhi-roma.it/resources/event_7101,https://g17.dhi-roma.it/raw/element_66700,https://g17.dhi-roma.it/raw/element_66714,Faustus Cospi,Octaviani etiam Cospi,Cospi,Cospi,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_197,Clusinensis,"act of grace,apostolic provision,papal grace,death of previous holder,Personal reason,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice",1678-06-28,1.0,1.0,230,significant
11223,https://g17.dhi-roma.it/resources/event_18582,https://g17.dhi-roma.it/raw/element_228755,https://g17.dhi-roma.it/raw/element_228741,Roberti etiam Barbier,Joannes Asrodizius Barbier,Barbier,Barbier,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_113,Biterensis,"act of grace,apostolic provision,papal grace,church,Church institutions,Archdeacon,Liturgical office",1678-02-06,1.0,1.0,529,significant
13025,https://g17.dhi-roma.it/resources/event_15785,https://g17.dhi-roma.it/raw/element_199811,https://g17.dhi-roma.it/raw/element_199806,Guillelmi etiam Gladines seu Gledines,Geraldus Gladines seu Gledines,Gledines,Gledines,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_513,Sancti Flori,"act of grace,apostolic provision,papal grace,rectorship in a parish church,Liturgical office",1678-07-22,1.0,1.0,156,significant
12987,https://g17.dhi-roma.it/resources/event_17353,https://g17.dhi-roma.it/raw/element_217940,https://g17.dhi-roma.it/raw/element_217932,Josephi Petrier etiam Motet,Petrus motet,Motet,Motet,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_455,Pictaviensis,"Placing a commenda,act of grace,apostolic provision,papal grace,rectorship of a prior,Office in a monastery,Order of Saint Benedict,Orders of the monastic tradition",1678-04-30,1.0,1.0,346,significant
12059,https://g17.dhi-roma.it/resources/event_1244,https://g17.dhi-roma.it/raw/element_22123,https://g17.dhi-roma.it/raw/element_22118,Petri etiam Van Volden,Alexander Van Volden,Volden,Volden,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_131,Brugensis,"Resignation,Personal reason,act of grace,apostolic provision,papal grace,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,church,Church institutions",1678-06-06,1.0,1.0,116,significant
12055,https://g17.dhi-roma.it/resources/event_17981,https://g17.dhi-roma.it/raw/element_223456,https://g17.dhi-roma.it/raw/element_223450,Petri etiam de Montserrat,Jacobus de Montserrat,Montserrat,Montserrat,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_139,Cadurcensis,"act of grace,apostolic provision,papal grace,Undetermined reason,Unknown reason,rectorship of a prior,Office in a monastery",1678-07-22,1.0,1.0,220,significant
12029,https://g17.dhi-roma.it/resources/event_13820,https://g17.dhi-roma.it/raw/element_184343,https://g17.dhi-roma.it/raw/element_184351,Petrus le Clerc junior,Petri etiam le Clerc Senioris,Clerc,Clerc,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_181,Cenomanensis,"Placing a commenda,act of grace,apostolic provision,papal grace,rectorship of a prior,Office in a monastery,Order of Saint Benedict,Orders of the monastic tradition",1678-05-28,1.0,1.0,217,significant
14144,https://g17.dhi-roma.it/resources/event_2384,https://g17.dhi-roma.it/raw/element_34698,https://g17.dhi-roma.it/raw/element_34694,Francisco etiam Genoud,Antonius Genoud,Genoud,Genoud,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_547,Suessionensis,"act of grace,apostolic provision,papal grace,Administrative reason,Mistake,Public resignation,Order of Cluny,Orders of the monastic tradition,rectorship of a prior,Office in a monastery,Priory,Monastic institutions",1678-04-26,1.0,1.0,94,significant
14172,https://g17.dhi-roma.it/resources/event_15788,https://g17.dhi-roma.it/raw/element_199843,https://g17.dhi-roma.it/raw/element_199838,Mathei etiam Chesnel,Ludovicus Chesnel,Chesnel,Chesnel,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_352,Macleviensis,"act of grace,apostolic provision,papal grace,Public resignation,rectorship in a parish church,Liturgical office",1678-07-22,1.0,1.0,157,significant
2613,https://g17.dhi-roma.it/resources/event_18051,https://g17.dhi-roma.it/raw/element_224004,https://g17.dhi-roma.it/raw/element_224013,Franciscus Darzac,Petri etiam Darzac,Darzac,Darzac,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_604,Vabrensis,"act of grace,apostolic provision,papal grace,Monastery,Monastic institutions,Order of Saint Benedict,Orders of the monastic tradition",1678-06-18,1.0,1.0,137,significant
13060,https://g17.dhi-roma.it/resources/event_18125,https://g17.dhi-roma.it/raw/element_224652,https://g17.dhi-roma.it/raw/element_224662,Joes xpophorus de Chastreaunius de Rochibonno,Christophori etiam de Chastreaunius di Rochibonno,Rochibonno,Rochibonno,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_349,Lugdunensis,"act of grace,apostolic provision,papal grace,church,Church institutions,Administrative office,Holder of a canonship,Defined administrative office,Canonship",1678-05-31,1.0,1.0,38,significant
13404,https://g17.dhi-roma.it/resources/event_2977,https://g17.dhi-roma.it/raw/element_57643,https://g17.dhi-roma.it/raw/element_57637,Ioannis etiam Brebion,Georgius Brebion,Brebion,Brebion,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_495,Rothomagensis,"act of grace,apostolic provision,papal grace,rectorship in a parish church,Liturgical office",1678-03-04,1.0,1.0,273,significant
13655,https://g17.dhi-roma.it/resources/event_17740,https://g17.dhi-roma.it/raw/element_221611,https://g17.dhi-roma.it/raw/element_221616,Ludovicus Lucadou,Hugonis etiam Lucadou,Lucadou,Lucadou,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_499,Ruthenensis,"act of grace,apostolic provision,papal grace,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,church,Church institutions",1678-08-12,1.0,1.0,79,significant
13377,https://g17.dhi-roma.it/resources/event_15604,https://g17.dhi-roma.it/raw/element_197960,https://g17.dhi-roma.it/raw/element_197955,Joesphi Ludovici etiam de Simiane,Henricus Ludovicus de Simiane,Simiane,Simiane,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_285,Gratianopolitana,"act of grace,apostolic provision,papal grace,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,church,Church institutions",1678-07-08,1.0,1.0,120,significant
13224,https://g17.dhi-roma.it/resources/event_17744,https://g17.dhi-roma.it/raw/element_221640,https://g17.dhi-roma.it/raw/element_221650,Gaspardus de Loyac,Joannis etiam de Loyac,Loyac,Loyac,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_327,Lemovicensis,"act of grace,apostolic provision,papal grace,rectorship of a prior,Office in a monastery",1678-08-12,1.0,1.0,81,significant
13164,https://g17.dhi-roma.it/resources/event_1860,https://g17.dhi-roma.it/raw/element_23670,https://g17.dhi-roma.it/raw/element_23664,Caroli etiam Gorra,Vespasianus Gorra,Gorra,Gorra,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_460,Placentina provinciae Bononiensis,"act of grace,apostolic provision,papal grace,Public resignation,Office in a monastery,Abbey Vicar,church,Church institutions",1678-09-30,1.0,1.0,283,significant
13117,https://g17.dhi-roma.it/resources/event_10352,https://g17.dhi-roma.it/raw/element_149948,https://g17.dhi-roma.it/raw/element_149942,Ioannes etiam de Beaulieu,Leononius de Beaulieu,Beaulieu,Beaulieu,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_445,Parisiensis,"Placing a commenda,act of grace,apostolic provision,papal grace,Office in a monastery,Head of the monastery",1678-03-12,1.0,1.0,173,significant
13105,https://g17.dhi-roma.it/resources/event_15647,https://g17.dhi-roma.it/raw/element_198368,https://g17.dhi-roma.it/raw/element_198360,Julii Pauli etiam de Cohor,Anthimes Dionisius de Cohor,Cohor,Cohor,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_532,Senonensis,"Placing a commenda,act of grace,apostolic provision,papal grace,Administrative reason,cession,rectorship of a prior,Office in a monastery,Order of Saint Benedict,Orders of the monastic tradition",1678-07-15,1.0,1.0,131,significant
13091,https://g17.dhi-roma.it/resources/event_9219,https://g17.dhi-roma.it/raw/element_127231,https://g17.dhi-roma.it/raw/element_127226,Bernardi etiam Fortassin,Ludovicus Fortassin,Fortassin,Fortassin,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_517,Sancti Papuli,"act of grace,apostolic provision,papal grace,rectorship in a parish church,Liturgical office",1678-01-08,1.0,1.0,152,significant
13078,https://g17.dhi-roma.it/resources/event_15641,https://g17.dhi-roma.it/raw/element_198307,https://g17.dhi-roma.it/raw/element_198313,Josephus Dominicus Thoreau,Philippi etiam Thoreau,Thoreau,Thoreau,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_236,Dolensis,"act of grace,apostolic provision,papal grace,Public resignation,chapel and chaplaincy,Liturgical office,church,Church institutions",1678-07-15,1.0,1.0,314,significant
13057,https://g17.dhi-roma.it/resources/event_18231,https://g17.dhi-roma.it/raw/element_225718,https://g17.dhi-roma.it/raw/element_225735,Ludovicus de Portefais,Ludovici etiam de Portefais,Portefais,Portefais,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_606,Valentina in Delphinatu,"Placing a commenda,act of grace,apostolic provision,papal grace,rectorship of a prior,Office in a monastery,Regular canons,Order of Saint Anthony,With care of souls",1678-03-27,1.0,1.0,146,significant
14205,https://g17.dhi-roma.it/resources/event_1629,https://g17.dhi-roma.it/raw/element_23883,https://g17.dhi-roma.it/raw/element_23888,Marcus Antonius Cortes,Marci Antonii etiam Cortes,Cortes,Cortes,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_569,Toletana,"act of grace,apostolic provision,papal grace,Public resignation,rectorship in a parish church,Liturgical office,Parish Church,Church institutions",1678-05-16,1.0,1.0,496,significant
13035,https://g17.dhi-roma.it/resources/event_25050,https://g17.dhi-roma.it/raw/element_290981,https://g17.dhi-roma.it/raw/element_290988,Francus Piragine,Ferdinandi etiam Piragine,Piragine,Piragine,providee,current possessor,1.0,https://g17.dhi-roma.it/resources/institution_155,Capuana,"act of grace,apostolic provision,papal grace,Reservation of a pension,rectorship in a parish church,Liturgical office",1622-08-26,1.0,1.0,163,significant
13255,https://g17.dhi-roma.it/resources/event_12837,https://g17.dhi-roma.it/raw/element_173733,https://g17.dhi-roma.it/raw/element_173726,Jacobi Picard,Carolus Picard junior,Picard,Picard,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_45,Ambianensis,"act of grace,apostolic provision,papal grace",1678-05-08,1.0,1.0,278,significant
13662,https://g17.dhi-roma.it/resources/event_20345,https://g17.dhi-roma.it/raw/element_246809,https://g17.dhi-roma.it/raw/element_246815,Joannes de Acuna,Francisci etiam de Acuna,Acuna,Acuna,providee,current possessor,1.0,https://g17.dhi-roma.it/resources/institution_569,Toletana,"act of grace,apostolic provision,papal grace,Reservation of a pension,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,church,Church institutions",1622-02-26,1.0,1.0,209,significant
13711,https://g17.dhi-roma.it/resources/event_18356,https://g17.dhi-roma.it/raw/element_226792,https://g17.dhi-roma.it/raw/element_226801,Ignatius de Colomb,Amandi etiam de Colomb,Colomb,Colomb,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_55,Aniciensis,"act of grace,apostolic provision,papal grace,church,Church institutions",1678-05-08,1.0,1.0,91,significant
13719,https://g17.dhi-roma.it/resources/event_9079,https://g17.dhi-roma.it/raw/element_125889,https://g17.dhi-roma.it/raw/element_125895,Jussanus Sohier Junior,Tussani Sohier Senioris,Sohier,Sohier,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_50,Andegavensis,"act of grace,apostolic provision,papal grace,death of previous holder,Personal reason,rectorship in a parish church,Liturgical office",1677-12-18,1.0,1.0,259,significant
14340,https://g17.dhi-roma.it/resources/event_9733,https://g17.dhi-roma.it/raw/element_132451,https://g17.dhi-roma.it/raw/element_132456,Joannes Millet,Petri etiam Millet,Millet,Millet,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_647,Xanctonensis,"act of grace,apostolic provision,papal grace,rectorship in a parish church,Liturgical office",1678-02-06,1.0,1.0,317,significant
14310,https://g17.dhi-roma.it/resources/event_701,https://g17.dhi-roma.it/raw/element_18180,https://g17.dhi-roma.it/raw/element_18173,Joannis Francisci etiam Molle,Franciscus Antonius Molle,Molle,Molle,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_35,Albinganensis,"act of grace,apostolic provision,papal grace,Voluntary resignation,Defined administrative office,Administrative office,Provostship,Parish Church,Church institutions",1678-06-25,1.0,1.0,361,significant
14275,https://g17.dhi-roma.it/resources/event_19838,https://g17.dhi-roma.it/raw/element_240872,https://g17.dhi-roma.it/raw/element_240865,Joannis etiam de Quenca,Alphonsus de Quenca,Quenca,Quenca,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_272,Gadicensis,"act of grace,apostolic provision,papal grace,Public resignation,church,Church institutions,Administrative office,Sexton,Defined administrative office",1622-11-03,1.0,1.0,70,significant
14253,https://g17.dhi-roma.it/resources/event_9901,https://g17.dhi-roma.it/raw/element_134378,https://g17.dhi-roma.it/raw/element_134384,Gilbertus Chevalier,Francisci etiam Chevalier,Chevalier,Chevalier,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_418,Nivernensis,"act of grace,apostolic provision,papal grace,rectorship in a parish church,Liturgical office",1678-02-20,1.0,1.0,284,significant
11874,https://g17.dhi-roma.it/resources/event_18050,https://g17.dhi-roma.it/raw/element_224013,https://g17.dhi-roma.it/raw/element_224004,Petri etiam Darzac,Franciscus Darzac,Darzac,Darzac,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_604,Vabrensis,"act of grace,apostolic provision,papal grace,rectorship of a prior,Office in a monastery,Order of Saint Benedict,Orders of the monastic tradition",1678-06-18,1.0,1.0,137,significant
86,https://g17.dhi-roma.it/resources/event_16675,https://g17.dhi-roma.it/raw/element_208764,https://g17.dhi-roma.it/raw/element_208758,Petri etiam Meries,Franciscus Meries,Meries,Meries,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_50,Andegavensis,"act of grace,apostolic provision,papal grace,Public resignation,chapel and chaplaincy,Liturgical office,Parish Church,Church institutions",1622-11-29,1.0,1.0,561,significant
11806,https://g17.dhi-roma.it/resources/event_9325,https://g17.dhi-roma.it/raw/element_128016,https://g17.dhi-roma.it/raw/element_128022,Joes Cretosseau,Caroli etiam Cretosseau,Cretosseau,Cretosseau,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_589,Turonensis,"act of grace,apostolic provision,papal grace,Church institutions,Collegiate church,Liturgical office,Curate",1678-01-23,1.0,1.0,96,significant
12417,https://g17.dhi-roma.it/resources/event_16248,https://g17.dhi-roma.it/raw/element_204202,https://g17.dhi-roma.it/raw/element_204191,Joannis Arnaldi etiam Torne,Arnaldus Torne,Torne,Torne,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_552,Tarbiensis,"act of grace,apostolic provision,papal grace,Without care of souls,church,Church institutions",1677-12-12,1.0,1.0,504,significant
12820,https://g17.dhi-roma.it/resources/event_14989,https://g17.dhi-roma.it/raw/element_196523,https://g17.dhi-roma.it/raw/element_196516,Joannis etiam Bernard,Franciscus Bernard,Bernard,Bernard,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_699,Aquensis in Provincie,"act of grace,apostolic provision,papal grace,Public resignation,rectorship of a prior,Office in a monastery",1678-07-01,1.0,1.0,527,significant
12753,https://g17.dhi-roma.it/resources/event_17807,https://g17.dhi-roma.it/raw/element_222158,https://g17.dhi-roma.it/raw/element_222154,Francisci etiam Chappelier,Franciscus Chappelier Iunior,Chappelier,Chappelier,current possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_534,Silvanectensis,"act of grace,apostolic provision,papal grace,rectorship of a prior,Office in a monastery",1622-11-01,1.0,1.0,216,significant
12739,https://g17.dhi-roma.it/resources/event_7404,https://g17.dhi-roma.it/raw/element_110946,https://g17.dhi-roma.it/raw/element_110951,Jacobus Pepin,Nicolai etiam Pepin,Pepin,Pepin,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_495,Rothomagensis,"act of grace,apostolic provision,papal grace,death of previous holder,Personal reason,rectorship in a parish church,Liturgical office",1678-08-04,1.0,1.0,307,significant
12736,https://g17.dhi-roma.it/resources/event_8155,https://g17.dhi-roma.it/raw/element_116069,https://g17.dhi-roma.it/raw/element_116062,Iois etiam Bontherhoux,Guillelmus Bontherhoux,Bontherhoux,Bontherhoux,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_111,Bisuntina,"act of grace,apostolic provision,papal grace,Public resignation,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,Church institutions,Collegiate church",1622-02-16,1.0,1.0,47,significant
12733,https://g17.dhi-roma.it/resources/event_21262,https://g17.dhi-roma.it/raw/element_254291,https://g17.dhi-roma.it/raw/element_254300,Josephus Philippus Bossart,Francisci etiam Bossart,Bossart,Bossart,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_200,Coloniensis,"act of grace,apostolic provision,papal grace,Unknown reason,Undetermined reason,Reason for vacancy not mentioned",1678-03-18,1.0,1.0,185,significant
12725,https://g17.dhi-roma.it/resources/event_16219,https://g17.dhi-roma.it/raw/element_203976,https://g17.dhi-roma.it/raw/element_203968,Guilellmi etiam Voiller,Antonius Voiller,Voiller,Voiller,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_445,Parisiensis,"Placing a commenda,act of grace,apostolic provision,papal grace,rectorship of a prior,Office in a monastery,Order of Saint Benedict,Orders of the monastic tradition",1677-11-20,1.0,1.0,451,significant
12684,https://g17.dhi-roma.it/resources/event_602,https://g17.dhi-roma.it/raw/element_40716,https://g17.dhi-roma.it/raw/element_40705,Joannis Josephi etiam Favart,Joannes Baptistae Favart,Favart,Favart,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_364,Matisconensis,"act of grace,apostolic provision,papal grace,Without care of souls,chapel and chaplaincy,Liturgical office,church,Church institutions",1677-10-08,1.0,1.0,176,significant
12576,https://g17.dhi-roma.it/resources/event_18233,https://g17.dhi-roma.it/raw/element_225718,https://g17.dhi-roma.it/raw/element_225735,Ludovicus de Portefais,Ludovici etiam de Portefais,Portefais,Portefais,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_606,Valentina in Delphinatu,"Placing a commenda,act of grace,apostolic provision,papal grace,chapel and chaplaincy,Liturgical office,church,Church institutions",1678-03-27,1.0,1.0,146,significant
12520,https://g17.dhi-roma.it/resources/event_20195,https://g17.dhi-roma.it/raw/element_245363,https://g17.dhi-roma.it/raw/element_245357,Joannis Hieronimi Cortes Pado,Bernardinus Garcia etiam Cortes Pado,Pado,Pado,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_529,Seguntin,"act of grace,apostolic provision,papal grace,Public resignation,Parish Church,Church institutions",1623-01-23,1.0,1.0,218,significant
12347,https://g17.dhi-roma.it/resources/event_13333,https://g17.dhi-roma.it/raw/element_176071,https://g17.dhi-roma.it/raw/element_176077,Petrus Bevier,Joannis etiam Bevier,Bevier,Bevier,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_319,Laudunensis,"act of grace,apostolic provision,papal grace,Sanction,heresy,chapel and chaplaincy,Liturgical office,Church institutions,Collegiate church",1678-05-20,1.0,1.0,393,significant
11793,https://g17.dhi-roma.it/resources/event_154,https://g17.dhi-roma.it/raw/element_21584,https://g17.dhi-roma.it/raw/element_21595,Alexius Oliverii,Jois Baptistae etiam Oliverii,Oliverii,Oliverii,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_423,Nucerina,"act of grace,apostolic provision,papal grace,Voluntary resignation,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice",1678-09-02,1.0,1.0,198,significant
12328,https://g17.dhi-roma.it/resources/event_2662,https://g17.dhi-roma.it/raw/element_51423,https://g17.dhi-roma.it/raw/element_51415,Franciscsi etiam Anuray,Petrus Anuray,Anuray,Anuray,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_589,Turonensis,"Placing a commenda,act of grace,apostolic provision,papal grace,rectorship of a prior,Office in a monastery,Order of Saint Benedict,Orders of the monastic tradition",1678-01-15,1.0,1.0,188,significant
