,event_id,person1_id,person2_id,person1_span_text,person2_span_text,extracted_name1,extracted_name2,person1_role,person2_role,ratio_score,diocese_id,diocese_name,type_labels,date,confidence,combined_score,name_frequency,likelihood
3178,https://g17.dhi-roma.it/resources/event_3815,,,Franciscus de Rocaberti,Jois etiam Rocaberti,Rocaberti,Rocaberti,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_246,Elnensis,"apostolic provision,papal grace,death of previous holder,Holder of a benefice",1678-06-16,1.0,1.0,127,significant
3184,https://g17.dhi-roma.it/resources/event_9011,,,Tussani et Sohier Senioris,Tussanus Sohier Junior,Sohier,Sohier,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_50,Andegavensis,"apostolic provision,papal grace,death of previous holder",1677-12-12,1.0,1.0,104,significant
1032,https://g17.dhi-roma.it/resources/event_1689,,,Francisci Barbosa etiam Cabral,Didacus Ferreyra Cabral,Cabral,Cabral,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_469,Portugallensis,"Resignation,apostolic provision,papal grace,Parish Church,church,Archdeacon",1678-06-01,1.0,1.0,182,significant
1456,https://g17.dhi-roma.it/resources/event_4802,,,Hieronymi etiam de Auxiliis,Paulus de Auxiliis,Auxiliis,Auxiliis,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_92,Aversana,"apostolic provision,papal grace,death of previous holder,Pastor",1677-11-19,1.0,1.0,56,significant
5803,https://g17.dhi-roma.it/resources/event_7979,,,Joannis iacobi etiam de Sequy seu de Seguy,Jacobus de Sequy seu de Seguy,Seguy,Seguy,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_139,Cadurcensis,"apostolic provision,papal grace,death of previous holder,Prior",1677-12-26,1.0,1.0,27,significant
6588,https://g17.dhi-roma.it/resources/event_2116,,,Joannes Leydon Junior,Jois etiam Leydon,Leydon,Leydon,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_68,Arelatensis,"apostolic provision,papal grace,Canonship and prebend,church,Collegiate church",1677-10-08,1.0,1.0,66,significant
5335,https://g17.dhi-roma.it/resources/event_1989,,,Geraldus Beviere,Joannis etiam Beviere,Beviere,Beviere,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_319,Laudunensis,"Resignation,apostolic provision,papal grace,Without care of souls,Pastor,church,Collegiate church",1677-10-29,1.0,1.0,85,significant
5821,https://g17.dhi-roma.it/resources/event_2196,,,Philippus Alchonchel,Josephi etiam Alchonchel,Alchonchel,Alchonchel,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_140,Caesaraugustana,"Resignation,apostolic provision,papal grace,Parish Church,church,Holder of a benefice",1678-08-17,1.0,1.0,19,significant
768,https://g17.dhi-roma.it/resources/event_2084,,,Jois etiam Frances,Emericus Frances,Frances,Frances,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_521,Sarlatensis,"apostolic provision,papal grace,death of previous holder,Archpriest,church,Collegiate church",1677-10-07,1.0,1.0,190,significant
3218,https://g17.dhi-roma.it/resources/event_8374,,,Ludovici etiam Le Gallic,Ludovicus Le Gallic,Gallic,Gallic,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_216,Corisopitensis,"Resignation,apostolic provision,papal grace",,1.0,1.0,113,significant
1378,https://g17.dhi-roma.it/resources/event_6657,,,Franciscus de Belmonte etiam Alareon,Alphonsi etiam de Belmonte etiam Alareon,Alareon,Alareon,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_204,Conchensis,"apostolic provision,papal grace,death of previous holder,Pastor,church,Collegiate church",1677-10-29,1.0,1.0,193,significant
1055,https://g17.dhi-roma.it/resources/event_2965,,,Marci Manc,Francisci etiam Manc,Manc,Manc,former possessor,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_50,Andegavensis,"apostolic provision,papal grace,Canonship and prebend,church",1622-02-26,1.0,1.0,181,significant
763,https://g17.dhi-roma.it/resources/event_152,,,Alexius Oliverii,Jois Baptistae etiam Oliverii,Oliverii,Oliverii,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_423,Nucerina,"Resignation,apostolic provision,papal grace,Holder of a benefice",1678-09-02,1.0,1.0,107,significant
2011,https://g17.dhi-roma.it/resources/event_2754,,,Ioannes Boullet,Andree etiam Boullet,Boullet,Boullet,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_381,Mimatensis,"apostolic provision,papal grace,Pastor,Parish Church,church",1677-11-20,1.0,1.0,145,significant
3260,https://g17.dhi-roma.it/resources/event_8622,,,Mathei etiam Thoreau,Carolus Thoreau,Thoreau,Thoreau,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_236,Dolensis,"Resignation,apostolic provision,papal grace,Canonship and prebend,church",1677-12-02,1.0,1.0,113,significant
3276,https://g17.dhi-roma.it/resources/event_601,https://g17.dhi-roma.it/resources/person_64,,Joannes Baptistae Favart,Joannis Josephi etiam Favart,Favart,Favart,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_487,Remensis,"apostolic provision,papal grace",1677-10-08,1.0,1.0,74,significant
7024,https://g17.dhi-roma.it/resources/event_602,https://g17.dhi-roma.it/resources/person_64,,Joannes Baptistae Favart,Joannis Josephi etiam Favart,Favart,Favart,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_364,Matisconensis,"apostolic provision,papal grace,Without care of souls,Pastor,church",1677-10-08,1.0,1.0,74,significant
3040,https://g17.dhi-roma.it/resources/event_8575,,,Jacobi etiam Murat,Hilarius Murat,Murat,Murat,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_570,Tolosana,"apostolic provision,papal grace,Hebdomadarian,church,Collegiate church,Holder of a benefice",1677-11-20,1.0,1.0,179,significant
5731,https://g17.dhi-roma.it/resources/event_7404,,,Nicolai etiam Pepin,Jacobus Pepin,Pepin,Pepin,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_495,Rothomagensis,"apostolic provision,papal grace,death of previous holder,Rectorship",1678-08-04,1.0,1.0,127,significant
6861,https://g17.dhi-roma.it/resources/event_9235,,,Iospehus du Houre,Ioannis Bapte etiam de Houre,Houre,Houre,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_93,Avinionensis,"Resignation,apostolic provision,papal grace,Order of Saint Benedict,Head of the monastery,monastic office",1678-01-14,1.0,1.0,148,significant
5613,https://g17.dhi-roma.it/resources/event_701,,,Joannis Francisci etiam Molle,Franciscus Antonius Molle,Molle,Molle,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_35,Albinganensis,"Resignation,apostolic provision,papal grace,Provostship,Parish Church,church",1678-06-25,1.0,1.0,161,significant
2711,https://g17.dhi-roma.it/resources/event_4187,,,Martini Sancho Senioris,Martinus Sancho Iunior,Sancho,Sancho,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_140,Caesaraugustana,"Resignation,apostolic provision,papal grace,Rectorship",1622-10-20,1.0,1.0,175,significant
2702,https://g17.dhi-roma.it/resources/event_1664,,,Joannes Baptistae Bucailler,Joannis etiam Bucailler,Bucailler,Bucailler,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_332,Lexoviensis,"apostolic provision,papal grace,Rectorship,Parish Church,church",1677-10-08,1.0,1.0,123,significant
5647,https://g17.dhi-roma.it/resources/event_2387,,,Joannes Leydon Junior,Jois etiam Leydon,Leydon,Leydon,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_68,Arelatensis,"apostolic provision,papal grace,Rectorship,Parish Church,church",1677-10-08,1.0,1.0,66,significant
6898,https://g17.dhi-roma.it/resources/event_8843,,,Jacobi etiam Riqueur,Jacobus Riqueur,Riqueur,Riqueur,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_501,Sagiensis,"apostolic provision,papal grace,Canonship and prebend,church",1677-12-05,1.0,1.0,69,significant
1657,https://g17.dhi-roma.it/resources/event_8187,,,Petrus Boubal,Petri etiam Boubal,Boubal,Boubal,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_115,Bituricensis,"apostolic provision,papal grace",1677-10-16,1.0,1.0,41,significant
1661,https://g17.dhi-roma.it/resources/event_151,,,Alexius Oliverii,Jois Baptistae etiam Oliverii,Oliverii,Oliverii,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_423,Nucerina,"Resignation,apostolic provision,papal grace,Holder of a benefice",1678-09-02,1.0,1.0,107,significant
2630,https://g17.dhi-roma.it/resources/event_9059,,,Philiberti etiam Grattet,Joes Baptistae Grattet,Grattet,Grattet,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_455,Pictaviensis,"Placing a commenda,apostolic provision,papal grace,Prior,Order of Saint Benedict",1677-12-26,1.0,1.0,49,significant
127,https://g17.dhi-roma.it/resources/event_7101,,,Faustus Cospi,Octaviani etiam Cospi,Cospi,Cospi,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_197,Clusinensis,"apostolic provision,papal grace,death of previous holder,Holder of a benefice",1678-06-28,1.0,1.0,112,significant
4845,https://g17.dhi-roma.it/resources/event_1629,,,Marcus Antonius Cortes,Marci Antonii etiam Cortes,Cortes,Cortes,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_569,Toletana,"Resignation,apostolic provision,papal grace,Rectorship,Parish Church,church",1678-05-16,1.0,1.0,213,significant
6749,https://g17.dhi-roma.it/resources/event_9325,,,Joes Cretosseau,Caroli etiam Cretosseau,Cretosseau,Cretosseau,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_589,Turonensis,"apostolic provision,papal grace,church,Collegiate church,Curate",1678-01-23,1.0,1.0,44,significant
2621,https://g17.dhi-roma.it/resources/event_8867,,,Guillelmus Thexon,Jois etiam Thexon,Thexon,Thexon,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_139,Cadurcensis,"apostolic provision,papal grace,Archpriest",1677-12-12,1.0,1.0,26,significant
5588,https://g17.dhi-roma.it/resources/event_702,,,Vicente etiam Clapa,Stephanus Clapa,Clapa,Clapa,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_308,Januensis,"Resignation,apostolic provision,papal grace,Rectorship,Parish Church,church",1678-07-16,1.0,1.0,96,significant
4785,https://g17.dhi-roma.it/resources/event_6876,,,Joannis Baptistae etiam Bertolotti,Petrus Antonius Bertolotti,Bertolotti,Bertolotti,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_222,Cremensis,"apostolic provision,papal grace,death of previous holder,Rectorship,church",1678-04-26,1.0,1.0,65,significant
5570,https://g17.dhi-roma.it/resources/event_709,,,Joes Maldonado de Barrientos,Antonii etiam Maldonado de Barrientos,Barrientos,Barrientos,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_503,Salamantina,"Resignation,apostolic provision,papal grace,Holder of a benefice,Holder of a portion",1678-07-23,1.0,1.0,112,significant
6347,https://g17.dhi-roma.it/resources/event_8184,,,Joannes Antonius Estore seu Estorc,Davidus etiam Estore seu Estorc,Estorc,Estorc,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_25,Agathensis,"apostolic provision,papal grace,church,Holder of a benefice",1677-10-16,1.0,1.0,56,significant
5679,https://g17.dhi-roma.it/resources/event_8281,,,Caroli Francisci etiam Neret,Franciscus Bartholomeus seu Bartholomen Franciscus Neret,Neret,Neret,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_497,Rupellensis,"Placing a commenda,apostolic provision,papal grace,death of previous holder,Prior,Order of Saint Benedict",1677-10-23,1.0,1.0,186,significant
1595,https://g17.dhi-roma.it/resources/event_1535,,,Bartholomei etiam Vidal,Joannes Baptistae Vidal,Vidal,Vidal,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_246,Elnensis,"Resignation,apostolic provision,papal grace,Rectorship,Parish Church,church",1678-07-28,1.0,1.0,132,significant
1592,https://g17.dhi-roma.it/resources/event_715,,,Joannes Baptistae Danielli,Francisci etiam Danielli,Danielli,Danielli,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_69,Aretina,"Resignation,apostolic provision,papal grace,Pastor,Holder of a benefice",1678-06-26,1.0,1.0,162,significant
5687,https://g17.dhi-roma.it/resources/event_7102,,,Faustus Cospi,Octaviani etiam Cospi,Cospi,Cospi,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_197,Clusinensis,"apostolic provision,papal grace,death of previous holder,Holder of a benefice",1678-06-28,1.0,1.0,112,significant
6537,https://g17.dhi-roma.it/resources/event_3460,,,Bartholomeus Damiani,Theodori etiam Damiani,Damiani,Damiani,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_356,Marianensis,"apostolic provision,papal grace,death of previous holder,Rectorship",1678-01-25,1.0,1.0,166,significant
4594,https://g17.dhi-roma.it/resources/event_2384,,,Francisco etiam Genoud,Antonius Genoud,Genoud,Genoud,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_547,Suessionensis,"Resignation,apostolic provision,papal grace,Mistake,Order of Cluny,Prior,Priory",1678-04-26,1.0,1.0,33,significant
1577,https://g17.dhi-roma.it/resources/event_8804,,,Antonius le Berthon Junior,Joannis etiam le Berthon Seniors,Berthon,Berthon,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_455,Pictaviensis,"apostolic provision,papal grace,Pastor,church,Collegiate church",1677-12-05,1.0,1.0,174,significant
4568,https://g17.dhi-roma.it/resources/event_9105,,,Michaelis etiam Gaussen,Michael Gaussen junior,Gaussen,Gaussen,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_133,Burdegalensis,"Resignation,apostolic provision,papal grace,Rectorship",1677-12-26,1.0,1.0,109,significant
998,https://g17.dhi-roma.it/resources/event_8693,,,Simon Breschot Junior,Francisci et Breschot,Breschot,Breschot,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_336,Lingonensis,"Placing a commenda,apostolic provision,papal grace,Prior,Order of Saint Anthony,With care of souls",1677-12-02,1.0,1.0,36,significant
6963,https://g17.dhi-roma.it/resources/event_8803,,,Antonius le Berthon Junior,Joannis etiam le Berthon Seniors,Berthon,Berthon,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_455,Pictaviensis,"apostolic provision,papal grace,Canonship and prebend,church,Collegiate church",1677-12-05,1.0,1.0,174,significant
1921,https://g17.dhi-roma.it/resources/event_4193,,,Andreas de Zenalles Senior,Andreae de Zenalles Junioris,Zenalles,Zenalles,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_176,Cauriensis,"Resignation,apostolic provision,papal grace,church,Archdeacon",,1.0,1.0,72,significant
4527,https://g17.dhi-roma.it/resources/event_154,,,Jois Baptistae etiam Oliverii,Alexius Oliverii,Oliverii,Oliverii,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_423,Nucerina,"Resignation,apostolic provision,papal grace,Holder of a benefice",1678-09-02,1.0,1.0,107,significant
2931,https://g17.dhi-roma.it/resources/event_1510,,,Dominicus Coarea de Souza,Ignatii Ferreira etiam de Souza,Souza,Souza,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_469,Portugallensis,"Resignation,apostolic provision,papal grace,Rectorship,Parish Church,church",1678-07-28,1.0,1.0,55,significant
351,https://g17.dhi-roma.it/resources/event_9219,,,Bernardi etiam Fortassin,Ludovicus Fortassin,Fortassin,Fortassin,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_517,Sancti Papuli,"apostolic provision,papal grace",1678-01-08,1.0,1.0,76,significant
5718,https://g17.dhi-roma.it/resources/event_2662,,,Petrus Anuray,Franciscsi etiam Anuray,Anuray,Anuray,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_589,Turonensis,"Placing a commenda,apostolic provision,papal grace,Prior,Order of Saint Benedict",1678-01-15,1.0,1.0,84,significant
5730,https://g17.dhi-roma.it/resources/event_2848,,,Dominicus de Ypenca,Hieronimi etiam Ypenca,Ypenca,Ypenca,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_566,Tirasonensis,"Resignation,apostolic provision,papal grace,Parish Church,church",1622-02-14,1.0,1.0,25,significant
6556,https://g17.dhi-roma.it/resources/event_986,,,Acchilius etiam de Rosis,Petrus de Rosis,Rosis,Rosis,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_486,Regiensis,"Resignation,apostolic provision,papal grace,Rectorship,Parish Church,church",1678-09-01,1.0,1.0,314,significant
2562,https://g17.dhi-roma.it/resources/event_4221,,,Joannes Matheus Junior,Joannis etiam Matheus Senioris,Matheus,Matheus,providee,current possessor,1.0,https://g17.dhi-roma.it/resources/institution_187,Civitatensis Provinciae Compostellani,"apostolic provision,papal grace,Reservation of a pension,Rectorship",,1.0,1.0,154,significant
638,https://g17.dhi-roma.it/resources/event_1860,,,Caroli etiam Gorra,Vespasianus Gorra,Gorra,Gorra,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_460,Placentina provinciae Bononiensis,"Resignation,apostolic provision,papal grace,Abbey Vicar,church",1678-09-30,1.0,1.0,151,significant
6819,https://g17.dhi-roma.it/resources/event_3928,,,iacobi Bergada Senioris,Jacobus Bergada Iunior,Bergada,Bergada,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_629,Vicensis,"apostolic provision,papal grace,death of previous holder,Pastor,church,Holder of a benefice in a church",1622-05-10,1.0,1.0,130,significant
4041,https://g17.dhi-roma.it/resources/event_4225,,,Philippi Emanuelis de Ligniville Senioris,Philippus Emanuel de Ligniville Junior,Ligniville,Ligniville,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_587,Tullensis,"Placing a commenda,apostolic provision,papal grace,cession,Prior,Order of Saint Benedict",1622-05-12,1.0,1.0,38,significant
4034,https://g17.dhi-roma.it/resources/event_9053,,,Jois etiam Chimbault,Jacobus Chimbault,Chimbault,Chimbault,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_589,Turonensis,"apostolic provision,papal grace,Receiver of an additional payment,Pastor",1677-12-26,1.0,1.0,48,significant
5954,https://g17.dhi-roma.it/resources/event_8155,,,Guillelmus Bontherhoux,Iois etiam Bontherhoux,Bontherhoux,Bontherhoux,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_111,Bisuntina,"apostolic provision,papal grace,Canonship and prebend,church,Collegiate church",1622-02-16,1.0,1.0,20,significant
4013,https://g17.dhi-roma.it/resources/event_9331,,,Francisci etiam Rimbaud,Petrus Rimbaud,Rimbaud,Rimbaud,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_404,Narbonensis,"apostolic provision,papal grace,Without care of souls,Prebendary,Pastor,church,Church in a monastery",1678-01-15,1.0,1.0,65,significant
632,https://g17.dhi-roma.it/resources/event_8330,,,Guillelmus Botherhou,Iois etiam Botherhou,Botherhou,Botherhou,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_111,Bisuntina,"apostolic provision,papal grace,Pastor,church,Collegiate church",1622-02-16,1.0,1.0,23,significant
2071,https://g17.dhi-roma.it/resources/event_8638,,,Ludovici etiam Geuffrin,Simon Petrus Geuffrin,Geuffrin,Geuffrin,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_709,Noviomensis,"apostolic provision,papal grace,Without care of souls,Pastor",1677-12-02,1.0,1.0,27,significant
3978,https://g17.dhi-roma.it/resources/event_153,,,Alexius Oliverii,Jois Baptistae etiam Oliverii,Oliverii,Oliverii,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_423,Nucerina,"Resignation,apostolic provision,papal grace,Holder of a benefice",1678-09-02,1.0,1.0,107,significant
6519,https://g17.dhi-roma.it/resources/event_2657,,,Francisci etiam Garnier,Joannes Garnier,Garnier,Garnier,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_589,Turonensis,"Placing a commenda,apostolic provision,papal grace,Prior,Order of Saint Benedict",1678-07-08,1.0,1.0,241,significant
918,https://g17.dhi-roma.it/resources/event_9065,,,Ludovicus Dupin,Mathurini etiam Dupin,Dupin,Dupin,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_50,Andegavensis,"apostolic provision,papal grace",1677-12-26,1.0,1.0,95,significant
5244,https://g17.dhi-roma.it/resources/event_8454,,,Renatus Beauxamis,Petri etiam Beauxamis,Beauxamis,Beauxamis,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_50,Andegavensis,"apostolic provision,papal grace,death of previous holder",1677-11-07,1.0,1.0,16,significant
3524,https://g17.dhi-roma.it/resources/event_150,,,Jois Baptistae etiam Oliverii,Alexius Oliverii,Oliverii,Oliverii,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_423,Nucerina,"Resignation,apostolic provision,papal grace,Holder of a benefice",1678-09-02,1.0,1.0,107,significant
5909,https://g17.dhi-roma.it/resources/event_1487,,,Francisci etiam Rasponi,Camillus Rasponi,Rasponi,Rasponi,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_392,Montis Alti/Montisalti,"Resignation,apostolic provision,papal grace",1678-07-21,1.0,1.0,116,significant
3916,https://g17.dhi-roma.it/resources/event_3891,,,Petrus Ioannes Perandera,Philippi etiam Perandera,Perandera,Perandera,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_298,Illerdensis,"apostolic provision,papal grace,Cancellation of a pension,Pastor,church",1622-03-15,1.0,1.0,182,significant
924,https://g17.dhi-roma.it/resources/event_8768,,,Betrand etiam Delpech,Joannes Franciscus Delpech,Delpech,Delpech,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_570,Tolosana,"apostolic provision,papal grace,Prebendary,church,Holder of a benefice",1677-12-02,1.0,1.0,16,significant
518,https://g17.dhi-roma.it/resources/event_6596,,,Vincentii etiam de montis,Vincentius de Montis,Montis,Montis,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_516,Sancti Miniatis,"Resignation,apostolic provision,papal grace,Prior",1677-11-13,1.0,1.0,321,significant
6615,https://g17.dhi-roma.it/resources/event_9079,,,Tussani Sohier Senioris,Jussanus Sohier Junior,Sohier,Sohier,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_50,Andegavensis,"apostolic provision,papal grace,death of previous holder",,1.0,1.0,104,significant
1128,https://g17.dhi-roma.it/resources/event_3397,,,Franciscus de Morellis,Francisci etiam de Morellis,Morellis,Morellis,providee,former possessor,1.0,https://g17.dhi-roma.it/resources/institution_401,Mutinensis,"apostolic provision,papal grace,death of previous holder,Rectorship",1677-12-24,1.0,1.0,213,significant
3891,https://g17.dhi-roma.it/resources/event_7366,,,Nicolai etiam Pepin,Jacobus Pepin,Pepin,Pepin,former possessor,providee,1.0,https://g17.dhi-roma.it/resources/institution_495,Rothomagensis,"apostolic provision,papal grace,death of previous holder,Rectorship",1678-07-29,1.0,1.0,127,significant
